cat,bio1,bio12,CTI_1K,ELEV_1K,EVI_mask_1,EVIM_1K,M13RB1ALT,M13RB2ALT,M13RB3ALT,M13RB7ALT,NPP_Mean_1,RELIEF_1K,SLOPE_1K,lstday,lstnight,coords.x1,coords.x2
774,273,1044,17.842764,35,1,4384,956,3234,826,1384,5265.892578,4,0,302,294,-1976872.35031429,191562.78316825
775,271,1048,14.276209,74,1,4849,955,3572,805,1396,4806.574707,5,0,303,294,-1969130.76423119,204872.021013498
776,274,1318,13.437435,26,1,3941,1018,2993,933,1316,3795.076904,14,1,304,294,-1902476.86971101,196918.116725091
777,272,1042,13.411947,57,1,4740,903,3421,775,1441,4739.469238,7,1,304,294,-1971007.70040619,200874.707482176
778,266,1111,14.159451,248,1,4245,917,3146,766,1365,3603.385498,6,0,305,294,-1903203.65248342,300459.215868215
779,265,1122,16.302017,253,1,4296,924,3193,751,1359,4043.564453,8,1,305,294,-1903679.63844746,303203.880180631
780,272,1073,12.750036,53,1,4873,916,3501,802,1329,4617.95166,32,1,304,294,-1958795.73681883,216077.406332239
781,271,1108,20.509336,196,1,3242,1092,2857,754,1736,14927.420898,10,0,309,294,-1977487.47331366,271790.039320143
782,273,1080,13.520923,24,1,3829,842,2913,587,1379,38584.265625,11,1,305,295,-1978655.37620622,180360.57433784
783,269,1076,13.817412,131,1,4548,900,3332,733,1336,4881.345215,13,0,304,294,-1963324.18758661,226302.132500003
784,272,1080,13.071282,142,1,3660,1013,2912,820,1645,3088.20874,26,1,306,294,-1911476.12743971,289279.579714929
785,277,1086,13.576588,105,1,3650,791,2705,582,1243,3947.996094,12,1,305,294,-1976414.44917974,318946.248807313
786,273,1079,12.333172,51,1,4802,947,3389,878,1398,4947.663086,29,2,303,294,-1960959.24807765,205638.481586115
787,269,1079,14.364652,149,1,4619,883,3343,745,1419,4105.359375,38,2,304,294,-1964032.59855901,231089.88177182
788,274,1087,14.317837,14,1,4806,950,3459,852,1376,5844.915527,34,3,304,294,-1961656.68503917,197199.981406802
789,269,1098,15.419498,202,1,4138,912,3063,755,1407,4727.389648,22,1,304,293,-1907571.56178292,298446.474417397
790,274,1087,12.684162,163,1,3761,874,2882,638,1421,3422.816406,19,1,306,294,-1970053.52204645,298139.92489072
791,272,1089,15.689361,160,1,3894,937,2999,708,1546,4260.516602,13,1,306,294,-1981463.44155159,262680.092742516
